Wk,Winner,Loser,WS,LS,PD,HA
1,Nebraska,West Virginia,31,0,31,1
1,Ohio State,Fresno State,34,10,24,1
2,Arizona,Georgia Tech,19,14,5,-1
2,Kansas,Houston,35,13,22,-1
2,North Carolina State,Bowling Green State,20,15,5,1
2,Oklahoma State,Northern Illinois,31,14,17,-1
2,Washington State,Illinois,10,9,1,-1
2,Alabama,Chattanooga,42,13,29,1
2,Arizona State,Oregon State,22,16,6,1
2,Arkansas,Southern Methodist,34,14,20,1
2,Auburn,Mississippi,22,17,5,-1
2,Baylor,Louisiana Tech,44,3,41,1
2,Brigham Young,Hawaii,13,12,1,-1
2,Clemson,Furman,27,6,21,1
2,Colorado,Louisiana-Monroe,48,13,35,1
2,Colorado State,Air Force,34,21,13,-1
2,Duke,Maryland,49,16,33,1
2,Florida,New Mexico State,70,21,49,1
2,Florida State,Virginia,41,17,24,1
2,Fresno State,San Jose State,45,13,32,1
2,Georgia,South Carolina,24,21,3,-1
2,Indiana,Cincinnati,28,3,25,1
2,Iowa,Central Michigan,52,21,31,1
2,Kansas State,Louisiana,34,6,28,1
2,Kentucky,Louisville,20,14,6,1
2,Miami (FL),Georgia Southern,56,0,56,1
2,Michigan,Boston College,34,26,8,1
2,Mississippi State,Memphis,17,6,11,-1
2,Nevada,Northern Arizona,30,27,3,1
2,Nevada-Las Vegas,Eastern Michigan,17,3,14,1
2,North Carolina,Texas Christian,27,17,10,1
2,Northern Iowa,Iowa State,28,14,14,-1
2,Notre Dame,Northwestern,42,15,27,-1
2,Oklahoma,Syracuse,30,29,1,-1
2,Oregon,Portland State,58,16,42,1
2,Pacific,California-Davis,24,7,17,1
2,Penn State,Minnesota,56,3,53,-1
2,Rutgers,Kent State,28,6,22,1
2,San Diego State,Navy,56,14,42,1
2,Southern California,Washington,24,17,7,1
2,Southern Mississippi,Tulane,25,10,15,-1
2,Temple,Akron,32,7,25,-1
2,Texas,Pittsburgh,30,28,2,-1
2,Texas A&M,Louisiana State,18,13,5,-1
2,Texas Tech,New Mexico,37,31,6,1
2,Toledo,Indiana State,20,17,3,1
2,Tulsa,Missouri,20,17,3,-1
2,UCLA,Tennessee,25,23,2,1
2,Utah,Utah State,32,17,15,-1
2,Vanderbilt,Wake Forest,35,14,21,1
2,Virginia Tech,Arkansas State,34,7,27,1
2,West Virginia,Ball State,16,14,2,1
2,Western Michigan,Miami (OH),28,25,3,-1
2,Wyoming,Texas-El Paso,36,13,23,1
3,Nebraska,Texas Tech,42,16,26,-1
3,Western Michigan,Western Illinois,43,7,36,1
3,Alabama,Vanderbilt,17,7,10,1
3,Arizona,New Mexico State,44,0,44,1
3,Army,Holy Cross,49,3,46,1
3,Auburn,Louisiana-Monroe,44,12,32,1
3,Baylor,San Jose State,54,20,34,-1
3,Bowling Green State,Akron,45,0,45,-1
3,Brigham Young,Air Force,45,21,24,-1
3,Central Michigan,Nevada-Las Vegas,35,23,12,1
3,Colorado State,Utah State,41,16,25,1
3,Duke,East Carolina,13,10,3,1
3,Florida,Kentucky,73,7,66,1
3,Florida State,Maryland,52,20,32,-1
3,Georgia Tech,Western Carolina,45,26,19,1
3,Hawaii,Oregon,36,16,20,1
3,Illinois,Missouri,42,0,42,1
3,Indiana,Miami (OH),35,14,21,1
3,Iowa,Iowa State,37,9,28,1
3,Kansas,Michigan State,17,10,7,1
3,Louisiana,Northern Illinois,29,9,20,1
3,Louisiana State,Mississippi State,44,24,20,1
3,Louisiana Tech,Houston,32,7,25,1
3,Memphis,Tulsa,42,18,24,-1
3,Miami (FL),Arizona State,47,10,37,-1
3,Michigan,Notre Dame,26,24,2,-1
3,Minnesota,Pacific,33,7,26,1
3,Mississippi,Southern Illinois,59,3,56,1
3,Nevada,Arkansas State,18,0,18,1
3,North Carolina State,Clemson,29,12,17,-1
3,Oregon State,Wyoming,44,31,13,1
3,Penn State,Southern California,38,14,24,1
3,Pittsburgh,Ohio,30,16,14,1
3,Purdue,Toledo,51,17,34,1
3,Rutgers,West Virginia,17,12,5,1
3,San Diego State,California,22,20,2,1
3,South Carolina,Arkansas,14,0,14,1
3,Stanford,Northwestern,41,41,0,-1
3,Syracuse,Cincinnati,34,19,15,-1
3,Tennessee,Georgia,41,23,18,-1
3,Texas,Louisville,30,16,14,1
3,Texas A&M,Oklahoma,36,14,22,1
3,Texas Christian,New Mexico,44,29,15,-1
3,Texas-El Paso,Eastern Illinois,22,20,2,1
3,Tulane,Rice,15,13,2,-1
3,UCLA,Southern Methodist,17,10,7,1
3,Utah,Idaho State,66,0,66,1
3,Virginia,Navy,47,10,37,-1
3,Virginia Tech,Southern Mississippi,24,14,10,-1
3,Wake Forest,Appalachian State,12,10,2,1
3,Washington,Ohio State,25,16,9,1
3,Washington State,Fresno State,24,3,21,1
3,Wisconsin,Eastern Michigan,56,0,56,1
4,Duke,Army,43,7,36,1
4,Alabama,Arkansas,13,6,7,-1
4,Arkansas State,Southern Illinois,41,14,27,1
4,Auburn,Louisiana State,30,26,4,1
4,Baylor,Oklahoma State,14,10,4,1
4,Boise State,Nevada,37,27,10,1
4,Bowling Green State,Navy,59,21,38,1
4,Central Michigan,Eastern Michigan,30,29,1,-1
4,Cincinnati,Miami (OH),17,17,0,-1
4,Colorado,Wisconsin,55,17,38,1
4,Colorado State,Brigham Young,28,21,7,-1
4,East Carolina,Temple,31,14,17,-1
4,Florida,Tennessee,31,0,31,-1
4,Florida State,Wake Forest,56,14,42,-1
4,Fresno State,Oregon State,24,14,10,1
4,Georgia,Louisiana-Monroe,70,6,64,1
4,Hawaii,California,21,7,14,-1
4,Idaho,Nevada-Las Vegas,48,38,10,-1
4,Illinois,Northern Illinois,34,10,24,1
4,Indiana,Kentucky,59,29,30,-1
4,Kansas State,Rice,27,18,9,1
4,Kent State,Akron,32,16,16,1
4,Louisville,Arizona State,25,22,3,-1
4,Maryland,West Virginia,24,13,11,-1
4,Minnesota,San Diego State,40,17,23,1
4,Mississippi,Vanderbilt,20,14,6,-1
4,Missouri,Houston,16,0,16,-1
4,Nebraska,UCLA,49,21,28,1
4,New Mexico State,Texas-El Paso,23,22,1,-1
4,North Carolina,Tulane,49,0,49,1
4,Northwestern,Air Force,14,10,4,-1
4,Notre Dame,Michigan State,21,20,1,-1
4,Ohio State,Pittsburgh,27,3,24,1
